id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,Revenue CAGR (%),Net Profit CAGR (%),EPS CAGR (%),Asset CAGR (%),Operating Cash Ratio,Investment Ratio,Financing Ratio,Free Cash Flow Indicator,Cash Quality Score,Cashflow Rank
822,ONGC,Mar 2021,7.03,16.0,9.67,0.6027,11.9598,0.5609,8044.0,39141.0,13.0,3.5132,28.0,133187,47185.0,12.4,4.84,4.71,9.56,2.21,-0.83,-0.17,8044.0,148.4,193
823,ONGC,Mar 2022,10.03,16.0,19.0,0.4701,15.2161,0.8422,37051.0,41197.0,36.0,4.1256,29.0,121986,78248.0,12.4,4.84,4.71,9.56,1.59,-0.53,-0.46,37051.0,123.6,246
824,ONGC,Mar 2023,5.18,12.0,11.68,0.5069,9.5699,1.0313,11372.0,74690.0,28.0,4.4618,40.0,142255,86062.0,12.4,4.84,4.71,9.56,2.63,-0.87,-0.15,11372.0,165.2,163
825,ONGC,Mar 2024,9.66,17.0,16.94,0.4544,11.3613,0.8332,42060.0,57203.0,39.0,5.3588,31.0,153181,99263.0,12.4,4.84,4.71,9.56,1.74,-0.58,-0.46,42060.0,129.6,235
838,PIDILITIND,Mar 2013,11.53,15.0,25.68,0.0672,41.5625,1.406,328.0,144.0,8.0,3.2373,31.0,111,472.0,11.02,13.67,13.87,14.11,1.11,-0.31,-0.72,328.0,104.4,295
839,PIDILITIND,Mar 2014,10.51,16.0,23.05,0.0236,44.375,1.4628,295.0,99.0,9.0,3.8275,31.0,46,394.0,11.02,13.67,13.87,14.11,0.88,-0.25,-0.61,295.0,95.2,321
840,PIDILITIND,Mar 2015,10.61,16.0,22.64,0.0256,50.6875,1.4612,116.0,436.0,10.0,4.451,29.0,58,552.0,11.02,13.67,13.87,14.11,1.07,-0.79,-0.3,116.0,102.8,299
841,PIDILITIND,Mar 2016,15.05,22.0,30.59,0.0303,96.4615,1.4435,416.0,491.0,16.0,5.1725,26.0,80,907.0,11.02,13.67,13.87,14.11,1.12,-0.54,-0.41,416.0,104.8,294
842,PIDILITIND,Mar 2017,15.36,22.0,24.86,0.0282,98.3571,1.1776,-85.0,879.0,17.0,6.8059,28.0,98,794.0,11.02,13.67,13.87,14.11,0.92,-1.11,0.05,-85.0,36.8,419
843,PIDILITIND,Mar 2018,15.89,22.0,27.03,0.035,93.375,1.1691,835.0,39.0,19.0,7.0078,32.0,125,796.0,11.02,13.67,13.87,14.11,0.82,0.05,-0.99,757.0,92.8,327
844,PIDILITIND,Mar 2019,13.11,19.0,22.37,0.0272,57.7308,1.1988,332.0,513.0,18.0,8.1333,36.0,113,845.0,11.02,13.67,13.87,14.11,0.91,-0.61,-0.43,332.0,96.4,318
845,PIDILITIND,Mar 2020,15.38,22.0,25.18,0.0646,49.2059,1.1182,1383.0,103.0,22.0,8.7373,32.0,288,1280.0,11.02,13.67,13.87,14.11,1.14,0.08,-0.66,1177.0,105.6,292
846,PIDILITIND,Mar 2021,15.44,23.0,20.13,0.0592,47.5676,0.8274,-296.0,1688.0,22.0,10.9667,38.0,331,1392.0,11.02,13.67,13.87,14.11,1.24,-1.21,-0.05,-296.0,49.6,398
847,PIDILITIND,Mar 2022,12.17,19.0,18.85,0.065,45.119,1.045,397.0,558.0,24.0,12.5569,42.0,416,955.0,11.02,13.67,13.87,14.11,0.79,-0.58,-0.49,397.0,91.6,330
848,PIDILITIND,Mar 2023,10.92,17.0,17.87,0.0542,42.5208,1.1232,659.0,899.0,25.0,14.1412,44.0,391,1558.0,11.02,13.67,13.87,14.11,1.21,-0.58,-0.42,659.0,108.4,285
849,PIDILITIND,Mar 2024,14.11,22.0,20.78,0.0454,54.3333,1.0254,955.0,1769.0,34.0,16.4843,47.0,382,2724.0,11.02,13.67,13.87,14.11,1.56,-0.65,-0.27,955.0,122.4,249
928,POWERGRID,Mar 2022,40.42,86.0,22.07,1.7666,5.0421,0.1659,26877.0,753.0,18.0,1.0931,61.0,134696,26124.0,11.01,11.37,10.74,7.0,1.55,0.03,-1.11,25371.0,122.0,250
929,POWERGRID,Mar 2022,40.42,86.0,22.07,1.7666,5.0421,0.1659,26877.0,753.0,18.0,1.0931,61.0,134696,26124.0,11.01,11.37,10.74,7.0,1.55,0.03,-1.11,25371.0,122.0,250
930,POWERGRID,Mar 2023,33.81,87.0,18.57,1.5487,4.2214,0.1808,33065.0,7138.0,17.0,1.1903,67.0,128584,40203.0,11.01,11.37,10.74,7.0,2.61,-0.18,-0.76,33065.0,164.39999999999998,165
931,POWERGRID,Mar 2023,33.81,87.0,18.57,1.5487,4.2214,0.1808,33065.0,7138.0,17.0,1.1903,67.0,128584,40203.0,11.01,11.37,10.74,7.0,2.61,-0.18,-0.76,33065.0,164.39999999999998,165
932,POWERGRID,Mar 2024,33.97,87.0,17.87,1.4173,4.603,0.1828,24176.0,13114.0,17.0,0.937,67.0,123516,37290.0,11.01,11.37,10.74,7.0,2.39,-0.35,-0.69,24176.0,155.60000000000002,180
933,POWERGRID,Mar 2024,33.97,87.0,17.87,1.4173,4.603,0.1828,24176.0,13114.0,17.0,0.937,67.0,123516,37290.0,11.01,11.37,10.74,7.0,2.39,-0.35,-0.69,24176.0,155.60000000000002,180
946,RELIANCE,Mar 2013,5.27,8.0,11.47,0.5889,11.814,1.0927,9317.0,27601.0,15.0,6.2008,13.0,107219,36918.0,7.47,11.83,10.74,14.37,1.77,-0.75,0.01,9317.0,130.8,231
947,RELIANCE,Mar 2014,5.2,8.0,11.35,0.6984,11.4181,1.0109,-29809.0,73070.0,16.0,6.7581,12.0,138761,43261.0,7.47,11.83,10.74,14.37,1.92,-1.69,0.32,-29809.0,76.8,362
948,RELIANCE,Mar 2015,6.31,10.0,10.82,0.77,13.8652,0.7421,-30332.0,64706.0,17.0,7.4244,12.0,168251,34374.0,7.47,11.83,10.74,14.37,1.45,-1.88,0.25,-30332.0,58.0,386
949,RELIANCE,Mar 2016,10.95,15.0,12.9,0.8409,14.6283,0.4551,1948.0,36186.0,22.0,7.8547,10.0,194714,38134.0,7.47,11.83,10.74,14.37,1.28,-0.95,-0.08,1948.0,111.2,277
950,RELIANCE,Mar 2017,9.81,15.0,11.31,0.8247,14.4269,0.43,-16651.0,66201.0,22.0,8.9121,11.0,217475,49550.0,7.47,11.83,10.74,14.37,1.66,-1.34,0.17,-16651.0,66.39999999999999,378
951,RELIANCE,Mar 2018,9.23,16.0,12.29,0.8172,9.2131,0.4817,3267.0,68192.0,27.0,4.9562,10.0,239843,71459.0,7.47,11.83,10.74,14.37,1.98,-0.95,-0.03,3267.0,139.2,212
952,RELIANCE,Mar 2019,7.01,15.0,10.29,0.7949,5.6172,0.5697,-52161.0,94507.0,29.0,6.5324,10.0,307714,42346.0,7.47,11.83,10.74,14.37,1.06,-2.23,1.32,-52161.0,42.400000000000006,408
953,RELIANCE,Mar 2020,6.68,15.0,8.88,0.7906,4.4416,0.513,22380.0,72497.0,29.0,7.0858,10.0,355133,94877.0,7.47,11.83,10.74,14.37,2.38,-0.76,-0.03,22380.0,155.2,181
954,RELIANCE,Mar 2021,11.52,17.0,7.68,0.3984,4.8715,0.3532,-115427.0,142385.0,39.0,10.8638,9.0,278962,26958.0,7.47,11.83,10.74,14.37,0.5,-5.28,3.78,-115427.0,20.0,442
955,RELIANCE,Mar 2022,9.77,16.0,8.7,0.4094,8.7892,0.4635,1492.0,109162.0,45.0,11.5223,9.0,319158,110654.0,7.47,11.83,10.74,14.37,1.63,-0.99,0.16,1492.0,125.2,243
956,RELIANCE,Mar 2023,8.450000000000001,16.0,10.35,0.6309,7.8861,0.5457,22031.0,93001.0,49.0,10.5804,9.0,451664,115032.0,7.47,11.83,10.74,14.37,1.55,-0.81,0.09,22031.0,122.0,250
957,RELIANCE,Mar 2024,8.790000000000001,18.0,9.96,0.5785,7.7289,0.5123,45207.0,113581.0,51.0,11.7275,10.0,458991,158788.0,7.47,11.83,10.74,14.37,2.01,-0.72,-0.1,45207.0,140.39999999999998,210
958,SBILIFE,Mar 2013,4.24,3.0,23.03,0.0,179.75,0.2768,903.0,227.0,6.0,0.2736,8.0,0,1130.0,19.81,11.83,12.25,19.35,1.79,-0.2,-0.05,903.0,131.6,229
959,SBILIFE,Mar 2014,4.22,3.0,21.69,0.0,171.0,0.2846,-542.0,708.0,7.0,0.3356,14.0,0,166.0,19.81,11.83,12.25,19.35,0.23,-4.27,-0.35,-542.0,9.2,458
960,SBILIFE,Mar 2015,3.48,3.0,20.09,0.0,244.25,0.3157,2533.0,178.0,8.0,0.4056,15.0,0,2711.0,19.81,11.83,12.25,19.35,3.33,-0.07,-0.04,2533.0,193.2,134
961,SBILIFE,Mar 2016,4.37,5.0,17.83,0.0,209.8,0.2316,-1426.0,7204.0,8.0,0.4733,14.0,0,5778.0,19.81,11.83,12.25,19.35,6.85,-1.25,-0.02,-1426.0,274.0,85
962,SBILIFE,Mar 2017,3.13,4.0,17.2,0.0,241.4,0.2988,-507.0,9032.0,10.0,0.5552,16.0,0,8525.0,19.81,11.83,12.25,19.35,8.93,-1.06,-0.02,-507.0,357.2,53
963,SBILIFE,Mar 2018,3.38,4.0,17.62,0.0,248.0,0.2799,1485.0,8910.0,12.0,0.6528,17.0,0,10395.0,19.81,11.83,12.25,19.35,9.04,-0.86,-0.02,1485.0,421.6,40
964,SBILIFE,Mar 2019,2.98,3.0,17.52,0.0,217.5,0.304,-79.0,13552.0,13.0,0.7576,15.0,0,13473.0,19.81,11.83,12.25,19.35,10.15,-1.01,-0.02,-79.0,406.0,45
965,SBILIFE,Mar 2020,3.25,3.0,16.26,0.0,,0.2645,2313.0,16986.0,14.0,0.8743,0.0,0,19299.0,19.81,11.83,12.25,19.35,13.57,-0.88,-0.01,2313.0,602.8,25
